id;tipoEquipamiento;postalCode;latitud;longitud
1488;residencias;50012;41.64369671;-0.918253664
1489;floristerias--viveros--semillas--clinicas-veterinaria;50001;41.64369725;-0.880818666
1490;hogar-y-decoracion;50009;41.64372034;-0.911667886
1491;moda-mujer--hombre--infantil;50001;41.64373212;-0.888107935
1492;moda-mujer--hombre--infantil;50001;41.64373693;-0.894353344
1493;ferreterias--iluminacion--decoracion;50001;41.64373759;-0.896143088
1494;centros-de-dia-s.-sociales;50008;41.64375037;-0.873505501
1495;farmacias;50009;41.64377084;-0.905998333
1496;joyerias--relojerias--bisuteria;50001;41.64377317;-0.892582449
1497;cuadros--artesania--otros-articulos-del-hogar;50001;41.64378024;-0.881103872
1498;supermercados-pequenos;50001;41.64378755;-0.910663847
1499;empleo.-programas-formativos;50013;41.64379047;-0.868566302
1500;residencias;50002;41.64380908;-0.860994434
1501;muebles;50013;41.64381286;-0.870889999
1502;panaderias--pastelerias;50001;41.64381436;-0.885720292
1503;moda-mujer--hombre--infantil;50001;41.64381497;-0.896070088
1504;librerias--papelerias--quioscos-y-prensa;50001;41.64381987;-0.888094861
1505;moda-mujer--hombre--infantil;50001;41.64383439;-0.895876982
1506;panaderias--pastelerias;50001;41.64384017;-0.912076336
1507;puntos-de-recogida-urbana-de-aceite-vegetal-usado;50010;41.64384019;-0.904151924
1508;moda-mujer--hombre--infantil;50001;41.64384252;-0.881867878
1509;librerias--papelerias--quioscos-y-prensa;50001;41.64384758;-0.911463736
1510;idiomas;50005;41.64385205;-0.893887322
1511;moda-y-complementos;50005;41.6438554;-0.89413888
1512;perfumeria-cosmetica;50001;41.6438554;-0.89413888
1513;fruterias--verdulerias;50001;41.64386018;-0.872014338
1514;material-construccion--saneamiento...;50001;41.64386105;-0.869908999
1515;supermercados-grandes;50001;41.64386349;-0.888218669
1516;ferreterias--iluminacion--decoracion;50001;41.64387281;-0.893634738
1517;moda-mujer--hombre--infantil;50001;41.64387499;-0.88117737
1518;perfumeria-cosmetica;50001;41.64387655;-0.91110511
1519;calzados--complementos--maletas;50001;41.6438844;-0.883201446
1520;puntos-de-recogida-urbana-de-aceite-vegetal-usado;50001;41.64388451;-0.871761869
1521;hospitales;50009;41.64391187;-0.903934313
1522;panaderias--pastelerias;50001;41.643914;-0.8924483
1523;floristerias--viveros--semillas--clinicas-veterinaria;50001;41.64393691;-0.915061409
1524;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64394012;-0.909357587
1525;moda-mujer--hombre--infantil;50001;41.64394087;-0.89431584
1526;ferreterias--iluminacion--decoracion;50001;41.64394422;-0.875468035
1527;fruterias--verdulerias;50001;41.64394625;-0.911451182
1528;fruterias--verdulerias;50001;41.64394907;-0.866961013
1529;hogar-y-decoracion;50008;41.64395436;-0.873456643
1530;panaderias--pastelerias;50001;41.64396293;-0.895926949
1531;joyerias--relojerias--bisuteria;50001;41.64397082;-0.882598143
1532;farmacias;50006;41.64397205;-0.886996645
1533;otros-productos;50001;41.64397643;-0.894849956
1534;panaderias--pastelerias;50001;41.64398837;-0.871724228
1535;librerias--papelerias--quioscos-y-prensa;50001;41.64399719;-0.896897325
1536;librerias--papelerias--quioscos-y-prensa;50001;41.64400246;-0.8873525
1537;espacios-navidad;50009;41.64400796;-0.914777791
1538;idiomas;50009;41.6440086;-0.913003243
1539;pescaderias;50001;41.644015;-0.893736725
1540;tiendas-alimentacion;50006;41.64402824;-0.88640382
1541;espacios-de-ocio-adheridos-al-protocolo-contra-agresiones-sexistas;50002;41.64404255;-0.865913554
1542;moda-mujer--hombre--infantil;50001;41.64404423;-0.888071078
1543;bazares;50001;41.64404856;-0.88025578
1544;hogar-y-decoracion;50006;41.6440486;-0.897688238
1545;moda-mujer--hombre--infantil;50001;41.64405037;-0.886764509
1546;zona-joven--ies-;50005;41.64405902;-0.895660745
1547;muebles;50001;41.64406466;-0.886924816
1548;libreria;50005;41.64406621;-0.896967721
1549;calzados--complementos--maletas;50001;41.64407121;-0.883368228
1550;lencerias;50001;41.64407159;-0.883066238
1551;moda-mujer--hombre--infantil;50001;41.64407452;-0.887034718
1552;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64407834;-0.870110999
1553;moda-mujer--hombre--infantil;50001;41.64409525;-0.882361489
1554;galerias-de-arte;50005;41.64409682;-0.896809552
1555;teatros;50005;41.64410493;-0.896224903
1556;centros-sociolaborales;50002;41.64410494;-0.860293394
1557;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64410554;-0.865033398
1558;farmacias;50006;41.64410822;-0.887280362
1559;formacion-profesional;50009;41.6441095;-0.905357226
1560;tiendas-alimentacion;50001;41.64411164;-0.910220511
1561;librerias--papelerias--quioscos-y-prensa;50001;41.64411385;-0.887493303
1562;residencias;50005;41.64411603;-0.892267727
1563;panaderias--pastelerias;50001;41.64411772;-0.873285209
1564;carnicerias--charcuterias;50001;41.64412928;-0.866742299
1565;perfumeria-cosmetica;50001;41.64413483;-0.882725207
1566;empleo.-programas-formativos;50008;41.64413488;-0.884277
1567;pescaderias;50001;41.64414088;-0.887802442
1568;hogares;50002;41.64415845;-0.865554437
1569;muebles;50001;41.64416846;-0.895558122
1570;alimentacion;50001;41.64417563;-0.911316732
1571;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64417563;-0.911316732
1572;parques-y-jardines;50009;41.64417662;-0.90902034
